Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
256,589.344,589.344,276.492,4.16567,1
768,1510.44,1510.44,191.818,82.2133,1
896,1203.25,1203.25,-40.5966,161.88,1
576,485.906,485.906,8.26266,-265.074,1
832,1172.21,1172.21,-12.6281,-218.901,1
288,607.5,607.5,210.84,111.982,1
160,449.688,449.688,-48.648,-45.4834,1
416,276.062,276.062,-191.602,-123.964,1
864,845.562,845.562,150.006,-268.568,1
224,850.312,850.312,94.9427,-42.3514,1
16,563.688,563.688,-165.672,139.242,1
784,582.938,582.938,-70.5353,39.1749,1
400,842.25,842.25,-215.647,-116.338,1
912,963.312,963.312,103.417,-243.379,1
336,357.062,357.062,163.179,-92.2919,1
48,993.375,993.375,127.412,145.063,1
304,908.734,908.734,19.5322,-91.4991,1
816,1195,1195,-140.534,-218.995,1
176,596.625,596.625,165.751,50.4244,1
432,1091.56,1091.56,-66.1284,-64.5345,1
880,1243.56,1243.56,-134.929,-320.138,1
752,1240.5,1240.5,243.332,51.2547,1
776,571.234,571.234,67.8899,-23.8282,1
392,995.938,995.938,-273.089,-147.328,1
72,534.938,534.938,-89.2904,152.303,1
200,216.547,216.547,-12.0863,-35.6515,1
168,624.938,624.938,111.952,106.417,1
24,1207.42,1207.42,-16.3282,91.8951,1
280,252.438,252.438,182.072,161.04,1
792,530.938,530.938,-85.0964,-37.776,1
408,322.625,322.625,-250.002,-143.99,1
856,1246.88,1246.88,97.7944,-196.109,1
472,1015.06,1015.06,-225.537,-50.6992,1
568,236.312,236.312,126.014,-321.654,1
312,212.375,212.375,9.86058,-146.644,1
632,266.188,266.188,91.266,-296.624,1
888,471.625,471.625,-77.5807,197.212,1
248,1064.94,1064.94,190.484,-64.7419,1
760,1179.81,1179.81,75.1525,118.871,1
4,888.25,888.25,-49.8225,217.197,1
68,957.812,957.812,-164.16,112.724,1
548,550.062,550.062,-23.8178,-251.088,1
292,734.188,734.188,286.752,-87.1038,1
804,260.25,260.25,-244.096,-193.998,1
164,1638.5,1638.5,-6.58178,2.81855,1
676,275.438,275.438,-214.238,-261.184,1
420,192.25,192.25,-182.966,-112.573,1
740,1089.75,1089.75,76.9783,-107.446,1
340,1254.56,1254.56,222.418,-88.6277,1
852,1209,1209,59.3065,-193.798,1
308,1000.78,1000.78,-29.516,-149.583,1
820,812.938,812.938,-111.002,-162.573,1
180,1107.08,1107.08,125.419,28.4376,1
756,867.078,867.078,255.31,2.52778,1
500,784.812,784.812,-123.063,-287.982,1
12,913.125,913.125,-147.25,169.07,1
780,1241.55,1241.55,-137.81,5.57706,1
140,1002.69,1002.69,-170.036,-92.803,1
396,899.5,899.5,-245.743,-63.8806,1
908,1061.9,1061.9,-185.529,13.0492,1
76,910.312,910.312,-76.0245,129.728,1
332,1033.5,1033.5,118.146,-77.7076,1
844,248.555,248.555,-1.94772,-249.49,1
204,256.664,256.664,6.83752,-45.9839,1
460,275.062,275.062,-160.502,-181.248,1
556,981.492,981.492,0.946238,-320.92,1
812,337.875,337.875,-246.041,-231.792,1
428,611.562,611.562,-84.1767,-92.9161,1
108,700.292,700.292,-29.5051,54.1709,1
364,916.375,916.375,247.518,-120.747,1
876,347,347,243.126,-187.44,1
236,249.148,249.148,155.876,-21.9218,1
28,826.375,826.375,31.2624,116.052,1
284,536,536,190.797,123.418,1
796,303.938,303.938,-253.107,-122.101,1
604,503.125,503.125,91.1356,-269.054,1
860,438.75,438.75,155.426,-229.21,1
60,462.438,462.438,32.1978,82.4715,1
572,477.562,477.562,218.836,-307.857,1
444,285.125,285.125,-42.3555,-181.109,1
252,317.312,317.312,224.97,46.0717,1
764,479.375,479.375,172.319,111.986,1
834,394.411,394.411,7.4888,-190.792,1
34,371.042,371.042,-8.83881,187.781,1
98,1047.5,1047.5,-98.642,63.3976,1
18,952.625,952.625,-79.5556,90.6674,1
658,202,202,202.579,-267.464,1
594,246.562,246.562,58.2029,-298.304,1
338,236.25,236.25,176.441,-82.0351,1
850,1497.83,1497.83,28.3317,-222.172,1
466,860.25,860.25,-294.391,-157.422,1
50,1383.5,1383.5,70.5607,173.631,1
562,503.938,503.938,42.5987,-306.034,1
818,492.062,492.062,-161.05,-146.522,1
690,278.188,278.188,-196.187,-304.661,1
114,206.656,206.656,-7.04704,41.8501,1
626,811.562,811.562,99.6951,-309.405,1
242,1403.01,1403.01,158.768,23.2227,1
754,1243.38,1243.38,202.793,-22.2884,1
498,929.75,929.75,-114.007,-237.066,1
778,1047.55,1047.55,125.647,-24.2021,1
650,884.25,884.25,181.912,-306.618,1
906,926.5,926.5,-100.056,178.812,1
842,1433.94,1433.94,-85.6827,-288.287,1
202,1182.11,1182.11,-28.9835,-58.8871,1
298,218.969,218.969,-16.6701,-81.1126,1
170,748.812,748.812,114.694,62.5471,1
426,429.062,429.062,-117.17,-108.44,1
106,1182.75,1182.75,-131.136,-61.7464,1
746,1005.75,1005.75,92.3152,-168.432,1
26,499.805,499.805,11.7258,133.198,1
666,397,397,240.032,-244.607,1
858,491.562,491.562,138.423,-215.321,1
58,614.438,614.438,51.6437,85.6334,1
570,817.625,817.625,164.189,-334.102,1
826,1452.75,1452.75,-65.882,-180.586,1
442,393,393,-53.1627,-145.787,1
122,877.891,877.891,-85.4428,14.1452,1
634,266.75,266.75,121.095,-285.996,1
762,1129.19,1129.19,148.963,160.068,1
6,1399.9,1399.9,25.3531,226.812,1
774,1468.67,1468.67,50.8276,16.7872,1
390,487.25,487.25,268.102,-184.853,1
326,750.438,750.438,60.2707,-83.017,1
454,758.562,758.562,-134.698,-179.344,1
678,430.438,430.438,-230.152,-223.339,1
486,295.438,295.438,-188.246,-219.672,1
22,1332.81,1332.81,-42.4779,124.497,1
534,667.438,667.438,265.311,44.8118,1
662,597.438,597.438,209.438,-285.117,1
86,480.812,480.812,-140.818,72.5733,1
182,330.312,330.312,92.6462,47.6211,1
246,1493.25,1493.25,157.113,-54.2574,1
758,634.438,634.438,69.8347,80.9155,1
502,204.062,204.062,-110.882,-271.889,1
14,232.375,232.375,-125.022,177.604,1
142,1091.94,1091.94,-103.272,-72.6061,1
78,351.5,351.5,-135.013,115.321,1
462,350.812,350.812,-225.402,-175.579,1
46,1412.31,1412.31,162.153,195.709,1
814,906.562,906.562,-175.903,-243.085,1
430,1052.25,1052.25,-56.461,-106.244,1
238,430.141,430.141,133.598,0.51979,1
750,823.625,823.625,178.681,-178.357,1
798,905.125,905.125,-267.496,-187.44,1
734,542.375,542.375,73.634,-139.776,1
62,669.438,669.438,-195.769,75.496,1
318,1515.4,1515.4,28.6358,-123.621,1
190,288.867,288.867,15.3803,16.4346,1
638,262.562,262.562,133.198,-306.057,1
766,1197.75,1197.75,258.952,90.8051,1
769,431.25,431.25,207.45,46.4388,1
897,906.125,906.125,-192.526,120.626,1
833,1514.15,1514.15,-11.3865,-178.095,1
193,342.688,342.688,10.0526,40.3763,1
161,979.437,979.437,-33.0967,-18.7708,1
353,312.562,312.562,181.712,-135.527,1
865,866.125,866.125,180.809,-245.852,1
225,842.188,842.188,68.7844,-50.7781,1
17,1159.12,1159.12,-113.826,94.633,1
785,466.688,466.688,-196.85,-93.1799,1
209,1301.95,1301.95,34.8184,-55.6186,1
