label, neighbor, wall area
4,887,41.7383
4,888,12.2782
6,7,29.4602
6,883,40.3492
7,6,29.4602
7,41,50.0269
7,45,21.5104
7,50,29.0815
7,883,39.3241
9,25,21.6607
9,34,15.0891
9,51,23.253
9,883,16.1066
9,896,21.7635
12,14,13.4497
12,16,19.2279
12,69,36.7132
14,12,13.4497
14,69,10.2175
14,906,12.1569
16,12,19.2279
16,68,21.6673
16,69,13.4246
16,897,14.1924
17,18,24.0962
17,75,20.6317
17,76,4.62132
17,78,14.4853
17,86,14.4853
17,98,35.0563
17,781,15.0962
18,17,24.0962
18,19,9.71751
18,23,22.9853
18,76,15.4497
18,98,13.8388
18,99,9.91421
19,18,9.71751
19,22,13.2175
19,23,6.53553
22,19,13.2175
22,23,24.4957
22,24,20.8137
22,25,34.8952
22,76,29.7886
22,896,32.617
23,18,22.9853
23,19,6.53553
23,22,24.4957
23,24,29.9099
23,99,8.92462
23,108,14.364
24,22,20.8137
24,23,29.9099
24,25,16.5946
24,27,46.9353
24,108,8.18198
25,9,21.6607
25,22,34.8952
25,24,16.5946
25,26,17.4784
25,27,9.52653
25,896,15.253
26,25,17.4784
26,27,18.9488
26,28,21.4957
26,51,7.57107
27,24,46.9353
27,25,9.52653
27,26,18.9488
27,28,29.2886
27,60,21.9602
27,61,16.0265
28,26,21.4957
28,27,29.2886
28,51,15.5459
28,58,9.77817
28,59,24.3388
28,60,15.9853
34,9,15.0891
34,887,16.5365
41,7,50.0269
41,43,14.3995
41,45,12.5104
43,41,14.3995
43,45,14.3995
45,7,21.5104
45,41,12.5104
45,43,14.3995
45,46,30.617
45,48,21.3995
45,49,23.253
45,50,13.8033
45,762,28.9099
46,45,30.617
46,280,6.32843
46,531,13.0962
46,762,31.6777
48,45,21.3995
48,49,46.5208
48,762,36.3848
48,763,20.5459
49,45,23.253
49,48,46.5208
49,50,23.3388
49,53,27.7028
49,168,17.364
49,760,12.3995
50,7,29.0815
50,45,13.8033
50,49,23.3388
50,51,41.0919
50,53,11.2782
50,883,29.3241
51,9,23.253
51,26,7.57107
51,28,15.5459
51,50,41.0919
51,760,14.7175
51,883,18.864
53,49,27.7028
53,50,11.2782
53,760,12.4853
58,28,9.77817
58,59,16.9497
58,60,23.1569
58,165,17.5459
58,758,32.3995
58,760,5.8033
59,28,24.3388
59,58,16.9497
59,760,27.435
60,27,21.9602
60,28,15.9853
60,58,23.1569
60,61,17.0208
60,165,11.3891
61,27,16.0265
61,60,17.0208
61,165,27.935
61,193,16.5088
62,87,17.5711
62,89,5.91421
68,16,21.6673
68,69,13.4246
68,78,11.1569
68,87,20.4749
68,897,26.5208
69,12,36.7132
69,14,10.2175
69,16,13.4246
69,68,13.4246
69,72,17.1066
69,75,14.3995
69,78,11.182
69,906,18.5208
72,69,17.1066
72,76,18.3137
72,893,9.65685
72,906,19.182
75,17,20.6317
75,69,14.3995
75,76,19.7782
76,17,4.62132
76,18,15.4497
76,22,29.7886
76,72,18.3137
76,75,19.7782
76,896,7.71751
78,17,14.4853
78,68,11.1569
78,69,11.182
86,17,14.4853
86,87,31.7132
86,781,14.4246
87,62,17.5711
87,68,20.4749
87,86,31.7132
87,89,13.3995
87,91,17.9749
87,93,9.65685
89,62,5.91421
89,87,13.3995
89,91,11.6317
89,908,21.4497
91,87,17.9749
91,89,11.6317
91,93,9.92462
91,473,11.2336
91,780,43.7706
91,908,48.5473
93,87,9.65685
93,91,9.92462
93,780,4.70711
93,781,21.9853
98,17,35.0563
98,18,13.8388
98,99,8.12132
98,781,34.7383
98,784,13.1066
99,18,9.91421
99,23,8.92462
99,98,8.12132
99,784,15.6213
103,122,16.1924
103,781,16.9853
105,106,14.9497
105,122,23.6713
105,475,11.4142
105,779,9.74264
105,780,43.8602
106,105,14.9497
106,125,22.935
106,141,19.0815
106,142,32.6569
106,426,5.56066
106,475,3.82843
106,907,18.3995
108,23,14.364
108,24,8.18198
108,114,11.6972
108,119,4.20711
114,108,11.6972
114,119,11.7426
114,164,9.49906
114,193,14.7336
119,108,4.20711
119,114,11.7426
119,122,10.7678
119,153,17.5962
119,164,28.6493
119,779,9.8033
119,784,17.3744
122,103,16.1924
122,105,23.6713
122,119,10.7678
122,779,34.9775
