label, neighbor, wall area
3,4,10.7426
3,5,11.7377
3,6,16.3765
3,374,17.5282
4,3,10.7426
4,5,24.6709
4,374,10.4246
5,3,11.7377
5,4,24.6709
5,6,9.31066
5,7,28.2137
6,3,16.3765
6,5,9.31066
6,7,10.9334
6,10,6.38893
6,12,23.7101
6,13,10.8794
6,14,12.1952
7,5,28.2137
7,6,10.9334
7,10,16.7918
7,444,10.5962
9,10,12.9675
9,12,11.6394
9,31,13.5711
9,41,27.3388
9,444,15.0711
10,6,6.38893
10,7,16.7918
10,9,12.9675
10,444,12.2353
12,6,23.7101
12,9,11.6394
12,13,7.39613
12,41,8.16728
13,6,10.8794
13,12,7.39613
13,14,20.181
13,20,9.36396
13,457,11.2976
14,6,12.1952
14,13,20.181
14,454,23.9779
17,20,17.7353
17,332,19.3817
17,342,7.28553
17,343,8.21751
20,13,9.36396
20,17,17.7353
20,46,24.8137
20,343,13.8211
25,33,13.3211
31,9,13.5711
31,37,31.9203
31,41,13.364
31,444,26.503
31,445,14.3817
33,25,13.3211
33,34,16.0888
33,445,16.9675
34,33,16.0888
34,35,24.3995
34,55,9.09619
34,445,9.18198
34,446,9.44975
35,34,24.3995
35,55,9.21751
35,56,13.7604
37,31,31.9203
37,39,25.7353
37,40,12.0104
37,41,7.10355
37,445,9.88909
37,446,9.22487
39,37,25.7353
39,40,11.9749
39,55,6.32843
39,58,23.8744
39,59,7.34619
39,86,9.59619
40,37,12.0104
40,39,11.9749
40,41,27.5208
40,63,11.7678
41,9,27.3388
41,12,8.16728
41,31,13.364
41,37,7.10355
41,40,27.5208
41,43,14.6126
43,41,14.6126
43,45,11.275
43,457,17.1717
45,43,11.275
45,46,8.01925
45,47,16.8275
45,49,21.2116
45,63,9.76777
45,457,15.5871
46,20,24.8137
46,45,8.01925
46,47,17.0799
46,316,18.34
46,343,6.37132
46,457,7.66936
47,45,16.8275
47,46,17.0799
47,316,10.3765
47,317,10.5646
49,45,21.2116
49,51,8.88909
49,63,14.4424
49,64,8.68198
51,49,8.88909
51,54,14.2175
51,459,11.6368
54,51,14.2175
54,71,16.9069
54,175,18.4069
54,321,11.6175
54,459,27.341
55,34,9.09619
55,35,9.21751
55,39,6.32843
55,58,13.0784
55,88,19.6746
55,446,18.6997
56,35,13.7604
56,91,12.9926
56,441,12.8995
56,458,14.4675
58,39,23.8744
58,55,13.0784
58,59,16.2604
58,87,18.6924
59,39,7.34619
59,58,16.2604
59,83,10.0711
59,86,12.4142
59,87,11.1213
63,40,11.7678
63,45,9.76777
63,49,14.4424
63,64,28.3315
64,49,8.68198
64,63,28.3315
64,65,25.6066
64,66,5.78553
64,68,13.1746
64,86,10.9675
65,64,25.6066
65,66,22.503
65,82,15.9069
65,83,18.4853
65,86,3.37132
66,64,5.78553
66,65,22.503
66,68,7.51777
66,71,6.49264
66,76,12.5533
66,82,8.22487
68,64,13.1746
68,66,7.51777
68,71,7.63909
71,54,16.9069
71,66,6.49264
71,68,7.63909
71,76,10.3284
71,175,19.9237
71,181,13.9418
75,76,8.18198
75,77,4.87132
75,173,25.7443
75,181,11.2389
75,182,10.049
75,184,12.7665
76,66,12.5533
76,71,10.3284
76,75,8.18198
76,77,13.7855
77,75,4.87132
77,76,13.7855
77,82,11.8033
77,171,10.7426
82,65,15.9069
82,66,8.22487
82,77,11.8033
82,83,8.31066
82,111,7.07843
82,171,12.3033
83,59,10.0711
83,65,18.4853
83,82,8.31066
83,87,11.3891
83,99,8.07843
83,113,18.8817
86,39,9.59619
86,59,12.4142
86,64,10.9675
86,65,3.37132
87,58,18.6924
87,59,11.1213
87,83,11.3891
87,96,8.19975
87,99,26.185
88,55,19.6746
88,96,15.9675
88,458,6.78553
91,56,12.9926
91,92,22.2886
91,93,6.16421
91,441,10.9926
91,458,7.47487
92,91,22.2886
92,93,8.5533
92,150,23.1673
93,91,6.16421
93,92,8.5533
93,95,16.2175
93,96,18.8566
93,150,5.62132
93,458,10.6317
95,93,16.2175
95,96,14.6317
95,99,6.03553
95,103,5.28553
96,87,8.19975
96,88,15.9675
96,93,18.8566
96,95,14.6317
96,99,6.60355
96,458,12.7855
99,83,8.07843
99,87,26.185
99,95,6.03553
99,96,6.60355
99,109,16.3211
99,113,11.864
103,95,5.28553
103,108,11.1997
103,128,4.99264
103,132,10.8033
108,103,11.1997
108,109,6.87132
108,110,12.6746
108,127,22.1746
108,132,13.7426
109,99,16.3211
109,108,6.87132
109,110,31.7886
109,111,8.78553
109,113,18.9749
110,108,12.6746
110,109,31.7886
110,111,7.72487
110,121,13.0104
110,126,18.4424
110,127,14.5888
111,82,7.07843
111,109,8.78553
111,110,7.72487
111,113,7.18198
111,121,12.0962
113,83,18.8817
113,99,11.864
113,109,18.9749
113,111,7.18198
121,110,13.0104
121,111,12.0962
121,126,10.3891
121,157,4.12132
125,126,7.3033
125,140,11.2249
125,143,7.94975
126,110,18.4424
126,121,10.3891
126,125,7.3033
126,127,17.4675
127,108,22.1746
127,110,14.5888
127,126,17.4675
127,132,10.182
128,103,4.99264
128,129,18.114
128,132,15.3033
129,128,18.114
129,132,6.31066
129,136,8.15685
129,145,21.8566
132,103,10.8033
132,108,13.7426
132,127,10.182
132,128,15.3033
132,129,6.31066
135,136,18.1317
135,137,12.5355
135,147,5.91421
136,129,8.15685
136,135,18.1317
136,145,10.4069
136,146,18.8995
136,147,16.614
137,135,12.5355
137,140,16.864
140,125,11.2249
140,137,16.864
143,125,7.94975
143,157,21.2959
143,158,5.78389
143,159,12.5192
145,129,21.8566
145,136,10.4069
145,146,12.3891
145,153,3.01777
145,154,7.51777
145,396,19.1317
145,397,4.62132
146,136,18.8995
146,145,12.3891
146,147,13.5962
146,396,6.93198
147,135,5.91421
147,136,16.614
147,146,13.5962
150,92,23.1673
150,93,5.62132
150,153,16.4497
153,145,3.01777
153,150,16.4497
153,154,16.5355
153,392,16.6673
154,145,7.51777
154,153,16.5355
154,392,19.753
154,397,24.3137
156,157,10.1642
156,158,25.894
156,162,9.7367
156,171,23.4424
156,172,7.95711
157,121,4.12132
157,143,21.2959
157,156,10.1642
157,158,17.6123
158,143,5.78389
158,156,25.894
158,157,17.6123
158,159,25.2217
158,162,19.0717
159,143,12.5192
159,158,25.2217
162,156,9.7367
162,158,19.0717
162,174,16.154
162,388,10.0533
171,77,10.7426
171,82,12.3033
171,156,23.4424
171,172,17.6495
172,156,7.95711
172,171,17.6495
172,173,3.31796
173,75,25.7443
173,172,3.31796
173,174,21.5202
173,184,11.7891
173,188,8.68198
174,162,16.154
174,173,21.5202
174,188,20.1066
174,388,12.614
175,54,18.4069
175,71,19.9237
175,180,8.01361
175,181,12.515
177,180,26.5871
177,321,13.6758
180,175,8.01361
180,177,26.5871
180,181,15.653
180,182,9.93253
180,192,14.6866
180,195,10.3687
180,217,11.782
181,71,13.9418
181,75,11.2389
