Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
512,376.352,376.352,-153.154,12.0307,1
128,635.219,635.219,-89.82,-94.8653,1
640,810.156,810.156,-143.77,-224.484,1
192,411.867,411.867,-15.8643,-147.6,1
32,955.453,955.453,69.0567,32.5493,1
96,1001.62,1001.62,-230.504,-103.334,1
352,823.719,823.719,177.682,54.221,1
224,271.062,271.062,31.1659,-172.705,1
16,1151.18,1151.18,-116.597,-15.31,1
144,524.969,524.969,-108.73,-111.109,1
400,1030.88,1030.88,222.5,184.996,1
80,630.312,630.312,105.138,-54.7597,1
592,606.844,606.844,7.66615,181.012,1
48,1078.4,1078.4,-73.1384,-34.2984,1
560,906.562,906.562,-158.307,87.5988,1
112,459.219,459.219,-177.973,-57.5612,1
624,1106.31,1106.31,134.452,-111.014,1
240,885.156,885.156,60.78,-192.35,1
520,210.469,210.469,-235.459,49.1256,1
648,915,915,33.9907,146.784,1
584,601.531,601.531,7.04447,98.7867,1
200,603.125,603.125,-88.0743,-235.485,1
40,1126.21,1126.21,-10.9535,42.42,1
296,692.188,692.188,155.965,-183.191,1
104,272.668,272.668,-145.314,-3.61752,1
616,862.375,862.375,78.4548,-82.3465,1
360,444.93,444.93,228.069,-7.19829,1
488,438.062,438.062,-280.79,38.6959,1
600,874.906,874.906,187.106,188.29,1
344,261.148,261.148,125.017,19.3372,1
472,492.594,492.594,-208.417,123.739,1
56,1100.76,1100.76,-31.8043,-54.6393,1
568,876.25,876.25,-91.8544,146.331,1
376,1023.04,1023.04,270.976,-30.8634,1
248,669.031,669.031,92.4264,-165.708,1
504,486.719,486.719,-171.902,29.0179,1
644,899.32,899.32,325.203,18.751,1
388,840.922,840.922,297.235,-13.5348,1
452,813.406,813.406,61.3606,237.981,1
164,567.156,567.156,-135.356,-173.795,1
612,940.148,940.148,0.488249,-45.0331,1
20,693.809,693.809,-70.3174,-7.85099,1
532,380.906,380.906,-68.2044,96.4064,1
148,990.594,990.594,-230.34,-165.866,1
340,618.938,618.938,110.086,77.2228,1
52,547,547,-100.857,-66.6134,1
564,631.781,631.781,-133.253,148.563,1
436,785,785,140.027,141.479,1
628,895.656,895.656,236.945,-44.2064,1
12,351.75,351.75,-61.6313,57.7119,1
524,556.812,556.812,-255.844,94.2315,1
140,818.719,818.719,-45.0305,-122.878,1
652,1195.74,1195.74,1.99214,-100.771,1
76,332.09,332.09,82.0029,-0.599298,1
588,1021.47,1021.47,39.4119,119.578,1
204,556.75,556.75,-108.212,-244.244,1
556,777.344,777.344,-198.22,87.5566,1
300,195,195,163.493,-33.7902,1
428,765.125,765.125,107.508,181.618,1
492,741.312,741.312,-225.957,76.9966,1
28,909.723,909.723,5.56633,67.6347,1
284,203.406,203.406,168.122,-147.977,1
156,637.5,637.5,-182.598,-217.621,1
92,972.543,972.543,-242.513,-4.62148,1
572,837.531,837.531,-86.3139,64.0501,1
636,648.219,648.219,-61.0899,-213.663,1
380,619.281,619.281,173.163,-50.8447,1
252,552.562,552.562,113.215,-187.517,1
514,762.207,762.207,-265.603,-19.9427,1
642,317.562,317.562,-120.138,-93.2495,1
66,243.156,243.156,36.6723,-30.2047,1
578,438.594,438.594,-102.512,40.6209,1
194,604.887,604.887,-9.8339,-185.284,1
450,582.375,582.375,153.371,228.237,1
290,503.312,503.312,208.287,-119.643,1
162,706.562,706.562,-145.708,-146.017,1
98,720.133,720.133,-222.822,-24.4799,1
610,492.156,492.156,14.4659,-15.6571,1
354,402.219,402.219,152.595,74.4887,1
226,636.656,636.656,32.8653,-194.534,1
82,244.211,244.211,-1.44787,-66.852,1
210,692.047,692.047,-16.9832,-231,1
50,1002.59,1002.59,-119.696,-57.2465,1
306,963.605,963.605,125.881,-8.41418,1
178,785.469,785.469,-97.611,-179.588,1
114,804.094,804.094,-202.287,-91.5074,1
370,405.688,405.688,268.667,-0.056897,1
266,488.656,488.656,89.575,-104.661,1
650,366.562,366.562,41.9564,-143.387,1
394,1001.78,1001.78,166.871,133.38,1
554,806.281,806.281,-191.257,50.8136,1
618,531.281,531.281,108.589,-83.5134,1
490,545.688,545.688,-245.59,32.0773,1
154,209.75,209.75,-183.412,-184.522,1
346,272,272,177.202,35.7033,1
474,733.812,733.812,-185.616,146.238,1
570,753.312,753.312,-55.9171,142.269,1
