Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
512,395.312,395.312,-229.706,235.817,1
256,820.094,820.094,-325.043,86.0904,1
128,525.469,525.469,-95.6122,-147.358,1
640,913.156,913.156,152.69,30.9637,1
384,378.969,378.969,-117.739,180.213,1
64,843.016,843.016,-119.678,-5.14635,1
576,204.125,204.125,82.062,-236.342,1
320,661.5,661.5,-174.602,101.143,1
192,314.406,314.406,26.8697,-223.448,1
32,762.312,762.312,-170.128,-40.3004,1
288,706.914,706.914,-22.4175,41.301,1
672,360.484,360.484,-1.98132,-201.298,1
96,833.449,833.449,-82.1347,-23.9532,1
352,493.375,493.375,-280.703,165.45,1
272,539.844,539.844,-207.572,55.621,1
144,832.746,832.746,12.0813,-133.88,1
656,547,547,-197.564,33.6192,1
400,835.75,835.75,-1.88088,140.251,1
80,608.562,608.562,-104.679,-114.168,1
592,192.531,192.531,-115.469,-172.847,1
336,655.406,655.406,-347.635,115.817,1
208,535.656,535.656,128.681,-67.47,1
464,754.344,754.344,50.4684,126.533,1
560,409.812,409.812,186.336,-199.356,1
304,314.656,314.656,-86.2846,115.559,1
176,481.75,481.75,59.8833,-147.969,1
432,211.281,211.281,86.2788,-36.6124,1
112,714.098,714.098,-13.8268,-8.46589,1
368,945.406,945.406,-225.502,209.776,1
240,828.598,828.598,-301.575,-4.95299,1
496,275.25,275.25,19.4401,217.709,1
8,227.75,227.75,-202.482,-7.65721,1
136,721.555,721.555,-23.296,-107.899,1
392,848.988,848.988,-29.892,167.022,1
72,433.781,433.781,-120.45,-66.8511,1
328,576.312,576.312,-187.498,129.545,1
456,444.938,444.938,113.527,75.0037,1
40,347.34,347.34,-215.716,7.83356,1
552,495.375,495.375,238.277,-86.7098,1
296,257.562,257.562,-50.9561,93.0819,1
680,428.844,428.844,64.9603,28.0952,1
424,705.883,705.883,37.5615,-31.9055,1
616,687.812,687.812,297.005,-68.989,1
360,586.531,586.531,-278.47,213.036,1
232,666.188,666.188,146.93,-165.509,1
536,695.562,695.562,198.285,-47.8991,1
280,1025.91,1025.91,-104.801,54.3051,1
152,437.367,437.367,-12.4807,-168.229,1
664,619,619,-93.1832,165.961,1
344,717.406,717.406,-263.525,110.845,1
472,240.031,240.031,68.3356,164.445,1
120,597.543,597.543,-8.14838,23.0384,1
376,391.938,391.938,-169.044,180.215,1
4,348.438,348.438,-230.921,-31.2683,1
516,697.625,697.625,-225.717,253.507,1
132,687.039,687.039,-26.9025,-79.9316,1
644,430.531,430.531,219.042,34.3362,1
388,797.125,797.125,-97.7507,219.417,1
68,305.25,305.25,-116.271,-40.5777,1
580,249.406,249.406,89.0365,-248.678,1
324,357.656,357.656,-200.292,107.918,1
196,660.594,660.594,121.509,-153.05,1
452,309.875,309.875,105.84,37.066,1
36,322.969,322.969,-152.62,-29.5873,1
420,555.469,555.469,43.5638,46.8175,1
612,634.609,634.609,270.281,-7.00967,1
356,552.812,552.812,-302.209,206.039,1
484,201.469,201.469,-55.6359,237.733,1
20,501.906,501.906,-219.52,-112.74,1
532,761.609,761.609,160.314,-0.481668,1
276,381.031,381.031,-148.575,43.3015,1
148,226.688,226.688,-39.4396,-196.428,1
660,579.934,579.934,-30.8885,82.7398,1
404,213.93,213.93,22.2794,124.564,1
596,448.312,448.312,-88.4031,-194.058,1
340,926.531,926.531,-301.089,148.401,1
468,692.281,692.281,31.5472,162.892,1
