label, neighbor, wall area
1,2,10.0533
1,4,27.4779
1,7,19.5104
1,12,19.3744
1,13,21.9853
1,44,12.9424
1,45,21.7959
2,1,10.0533
2,4,5.74264
2,5,4.65001
2,44,17.639
2,52,12.9038
4,1,27.4779
4,2,5.74264
4,5,11.7782
4,7,19.8388
5,2,4.65001
5,4,11.7782
5,7,7.74264
5,8,9.1106
5,40,25.0904
5,52,20.007
5,53,15.107
7,1,19.5104
7,4,19.8388
7,5,7.74264
7,9,20.8995
7,11,5.94975
7,12,12.3817
7,23,14.4424
7,32,15.1746
8,5,9.1106
8,9,9.83923
8,39,15.7544
8,40,10.2543
8,60,7.1106
9,7,20.8995
9,8,9.83923
9,32,12.503
9,60,17.0249
11,7,5.94975
11,23,29.003
11,26,10.3891
11,29,12.0711
11,32,11.9069
12,1,19.3744
12,7,12.3817
12,13,11.1569
12,19,7.76777
12,23,18.2959
13,1,21.9853
13,12,11.1569
13,15,10.0178
13,47,9.53553
15,13,10.0178
15,19,11.2426
15,20,18.1495
19,12,7.76777
19,15,11.2426
19,20,6.01777
19,22,18.4424
19,23,9.19975
20,15,18.1495
20,19,6.01777
20,22,18.1924
22,19,18.4424
22,20,18.1924
22,23,19.4779
22,27,17.9853
22,75,5.74264
23,7,14.4424
23,11,29.003
23,12,18.2959
23,19,9.19975
23,22,19.4779
23,27,11.432
26,11,10.3891
26,27,7.32843
26,28,13.503
26,29,13.7782
27,22,17.9853
27,23,11.432
27,26,7.32843
27,28,17.6746
27,75,18.935
27,76,11.9675
28,26,13.503
28,27,17.6746
28,29,16.7782
28,76,19.3566
28,78,15.0282
28,79,6.56066
29,11,12.0711
29,26,13.7782
29,28,16.7782
29,34,13.7604
29,72,17.9779
29,79,6.0533
29,652,12.3891
32,7,15.1746
32,9,12.503
32,11,11.9069
32,34,7.94975
32,35,8.41421
32,36,21.0637
32,60,23.4424
34,29,13.7604
34,32,7.94975
34,35,21.4424
34,72,9.97487
35,32,8.41421
35,34,21.4424
35,36,13.8566
35,68,19.0815
35,72,11.2855
36,32,21.0637
36,35,13.8566
36,60,15.6066
39,8,15.7544
39,40,14.1651
39,58,15.3058
39,60,11.382
39,656,14.5178
40,5,25.0904
40,8,10.2543
40,39,14.1651
40,53,8.32393
44,1,12.9424
44,2,17.639
44,45,13.2604
44,52,7.09217
44,240,13.0426
44,241,17.7946
45,1,21.7959
45,44,13.2604
45,47,8.47487
47,13,9.53553
47,45,8.47487
49,53,17.7814
49,239,6.65165
49,241,24.2739
52,2,12.9038
52,5,20.007
52,44,7.09217
52,53,8.51162
53,5,15.107
53,40,8.32393
53,49,17.7814
53,52,8.51162
53,235,6.32843
53,236,5.91421
53,655,41.4381
55,59,9.44975
55,656,12.4497
55,657,23.5992
58,39,15.3058
58,59,22.2777
58,60,18.9536
59,55,9.44975
59,58,22.2777
59,60,20.5199
59,64,17.041
59,276,22.5815
59,657,11.9246
60,8,7.1106
60,9,17.0249
60,32,23.4424
60,36,15.6066
60,39,11.382
60,58,18.9536
60,59,20.5199
64,59,17.041
64,67,11.682
64,86,14.9026
64,87,23.6375
64,96,13.4165
67,64,11.682
67,68,8.59619
67,74,10.1924
67,96,13.0282
68,35,19.0815
68,67,8.59619
68,74,14.5104
72,29,17.9779
72,34,9.97487
72,35,11.2855
72,73,16.4675
72,652,13.6213
73,72,16.4675
73,74,21.1746
73,103,8.26041
73,652,26.2708
73,654,16.6924
74,67,10.1924
74,68,14.5104
74,73,21.1746
74,96,24.2635
74,103,12.2959
75,22,5.74264
75,27,18.935
75,76,20.2102
76,27,11.9675
76,28,19.3566
76,75,20.2102
76,78,18.1495
76,588,21.8315
78,28,15.0282
78,76,18.1495
78,79,15.6569
78,80,12.6317
78,82,11.8284
78,85,6.62132
79,28,6.56066
79,29,6.0533
79,78,15.6569
79,80,18.4528
79,652,21.0208
80,78,12.6317
80,79,18.4528
80,85,25.2279
80,127,16.1244
80,652,16.7604
80,653,13.8211
82,78,11.8284
82,587,15.614
82,588,10.2175
85,78,6.62132
85,80,25.2279
85,127,10.8891
85,128,9.27817
86,64,14.9026
86,87,9.08117
86,95,12.7209
86,96,22.3319
87,64,23.6375
87,86,9.08117
87,91,12.5748
87,277,8.65685
87,280,16.2782
91,87,12.5748
91,118,17.0282
95,86,12.7209
95,96,23.076
95,106,11.2616
95,107,9.14989
95,116,16.5582
95,118,9.62324
96,64,13.4165
96,67,13.0282
96,74,24.2635
96,86,22.3319
96,95,23.076
102,103,15.9602
102,105,16.5533
102,107,17.0208
102,108,13.7604
103,73,8.26041
103,74,12.2959
103,102,15.9602
103,105,6.76777
103,654,28.0208
105,102,16.5533
105,103,6.76777
105,108,14.7782
105,132,12.9853
106,95,11.2616
106,107,16.9836
106,112,13.0321
106,116,9.67748
107,95,9.14989
107,102,17.0208
107,106,16.9836
107,108,12.9926
107,109,12.8284
107,112,16.003
108,102,13.7604
108,105,14.7782
108,107,12.9926
108,109,23.9578
108,132,10.8891
108,171,9.53608
109,107,12.8284
109,108,23.9578
109,112,12.9495
109,122,13.1204
109,171,22.337
109,424,7.0533
109,650,13.9853
112,106,13.0321
112,107,16.003
112,109,12.9495
112,115,13.7615
112,120,14.6692
112,121,22.631
115,112,13.7615
115,116,6.80964
115,119,13.5953
115,120,11.8323
116,95,16.5582
116,106,9.67748
116,115,6.80964
116,119,12.9946
118,91,17.0282
118,95,9.62324
118,119,9.87132
118,280,12.5888
118,286,14.6317
118,287,22.1599
119,115,13.5953
119,116,12.9946
119,118,9.87132
119,120,9.72487
119,287,19.0459
119,288,25.3063
120,112,14.6692
120,115,11.8323
120,119,9.72487
120,121,5.16777
120,288,21.1627
120,414,14.7206
120,415,10.201
121,112,22.631
121,120,5.16777
121,122,12.5224
121,415,12.8927
121,423,12.5828
122,109,13.1204
122,121,12.5224
122,423,15.5483
122,424,19.185
127,80,16.1244
127,85,10.8891
127,128,26.3744
127,129,21.2959
127,130,16.7175
128,85,9.27817
128,127,26.3744
