sample name,r,p-value
20170327 WT 2h timeseries S4 48h (MTs)_1,0.51456,0.00603
20170327 WT 2h timeseries S4 48h (MTs)_2,0.18459,0.35667
20170327 WT 2h timeseries S4 48h (MTs)_3,-0.35608,0.06831
20170327 WT 2h timeseries S4 48h (MTs)_4,0.49781,0.00823
20170327 WT 2h timeseries S4 48h (MTs)_5,0.08055,0.68959
20170327 WT 2h timeseries S4 48h (MTs)_6,-0.60783,0.00077
20170327 WT 2h timeseries S4 48h (MTs)_7,0.21202,0.28838
20170327 WT 2h timeseries S4 48h (MTs)_8,0.32465,0.09849
20170501 WT 2h timeseries S3 48h (MTs)_1,-0.16061,0.35668
20170501 WT 2h timeseries S3 48h (MTs)_2,0.2203,0.20348
20170501 WT 2h timeseries S3 48h (MTs)_3,0.2528,0.14288
20170501 WT 2h timeseries S3 48h (MTs)_4,0.34126,0.04483
20170501 WT 2h timeseries S3 48h (MTs)_5,-0.22854,0.18667
20170501 WT 2h timeseries S3 48h (MTs)_6,0.04026,0.81838
20170501 WT 2h timeseries S3 48h (MTs)_7,-0.68063,1e-05
20170501 WT 2h timeseries S3 48h (MTs)_8,0.0634,0.71747
20170501 WT 2h timeseries S4 48h (MTs)_1,0.25805,0.24626
20170501 WT 2h timeseries S4 48h (MTs)_2,0.01403,0.95057
20170501 WT 2h timeseries S4 48h (MTs)_3,0.1307,0.56207
20170501 WT 2h timeseries S4 48h (MTs)_4,-0.10226,0.65068
20170501 WT 2h timeseries S4 48h (MTs)_5,-0.27914,0.20837
20170501 WT 2h timeseries S4 48h (MTs)_6,-0.09443,0.67595
20170501 WT 2h timeseries S4 48h (MTs)_7,-0.07241,0.74878
20170501 WT 2h timeseries S4 48h (MTs)_8,-0.4073,0.05991
20190107 clasp-1 S1 48h (MTs)_1,0.05094,0.79685
20190107 clasp-1 S1 48h (MTs)_2,0.31873,0.09831
20190107 clasp-1 S1 48h (MTs)_3,0.147,0.45538
20190107 clasp-1 S1 48h (MTs)_4,-0.48129,0.00952
20190107 clasp-1 S1 48h (MTs)_5,0.04208,0.83162
20190107 clasp-1 S1 48h (MTs)_6,-0.03018,0.87883
20190107 clasp-1 S1 48h (MTs)_7,0.19271,0.32586
20190107 clasp-1 S1 48h (MTs)_8,0.0463,0.815
20190107 clasp-1 S3 48h (MTs)_1,-0.2642,0.09947
20190107 clasp-1 S3 48h (MTs)_2,-0.06579,0.68672
20190107 clasp-1 S3 48h (MTs)_3,0.30649,0.05441
20190107 clasp-1 S3 48h (MTs)_4,-0.10619,0.51429
20190107 clasp-1 S3 48h (MTs)_5,-0.12971,0.42502
20190107 clasp-1 S3 48h (MTs)_6,-0.36631,0.02009
20190107 clasp-1 S3 48h (MTs)_7,-0.25871,0.10699
20190107 clasp-1 S3 48h (MTs)_8,-0.26724,0.0955
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_3,-0.10251,0.63363
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_4,-0.44095,0.03102
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_5,-0.19879,0.35175
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_6,-0.16674,0.43613
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_7,-0.43417,0.03402
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_8,-0.02867,0.89419
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_1,0.09738,0.65079
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_2,-0.39643,0.05513
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_3,-0.43119,0.03541
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_4,-0.50981,0.01093
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_5,-0.13167,0.53968
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_6,0.04482,0.83526
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_3,-0.61151,0.00193
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_4,0.41846,0.0469
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_5,0.16734,0.44535
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_6,-0.11878,0.58934
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_7,-0.10274,0.64088
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_8,-0.03436,0.87632
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_1,-0.24385,0.28678
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_2,-0.40046,0.07203
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_3,-0.05397,0.81626
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_4,-0.14677,0.52553
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_5,-0.02549,0.91268
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_6,0.54899,0.00995
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_1,0.03999,0.82512
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_2,-0.23571,0.18665
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_3,-0.33854,0.05396
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_4,-0.28289,0.11067
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_5,-0.1658,0.35646
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_6,-0.3799,0.0292
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_7,-0.02907,0.87241
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_8,-0.03413,0.85043
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_1,0.04788,0.76046
