sample name,r,p-value
20170327 WT 2h timeseries S4 48h (MTs)_1,0.69407,
20170327 WT 2h timeseries S4 48h (MTs)_2,0.88436,
20170327 WT 2h timeseries S4 48h (MTs)_3,0.94854,
20170327 WT 2h timeseries S4 48h (MTs)_4,0.68103,
20170327 WT 2h timeseries S4 48h (MTs)_5,0.90419,
20170327 WT 2h timeseries S4 48h (MTs)_6,1.15587,
20170327 WT 2h timeseries S4 48h (MTs)_7,0.91346,
20170327 WT 2h timeseries S4 48h (MTs)_8,0.8424,
20170501 WT 2h timeseries S3 48h (MTs)_1,1.16446,
20170501 WT 2h timeseries S3 48h (MTs)_2,0.79161,
20170501 WT 2h timeseries S3 48h (MTs)_3,0.67532,
20170501 WT 2h timeseries S3 48h (MTs)_4,0.75119,
20170501 WT 2h timeseries S3 48h (MTs)_5,1.30655,
20170501 WT 2h timeseries S3 48h (MTs)_6,0.66934,
20170501 WT 2h timeseries S3 48h (MTs)_7,1.24316,
20170501 WT 2h timeseries S3 48h (MTs)_8,1.18964,
20170501 WT 2h timeseries S4 48h (MTs)_1,0.92536,
20170501 WT 2h timeseries S4 48h (MTs)_2,0.82257,
20170501 WT 2h timeseries S4 48h (MTs)_3,0.78438,
20170501 WT 2h timeseries S4 48h (MTs)_4,1.09423,
20170501 WT 2h timeseries S4 48h (MTs)_5,1.06202,
20170501 WT 2h timeseries S4 48h (MTs)_6,1.23047,
20170501 WT 2h timeseries S4 48h (MTs)_7,0.83175,
20170501 WT 2h timeseries S4 48h (MTs)_8,1.00731,
20190107 clasp-1 S1 48h (MTs)_1,1.17991,
20190107 clasp-1 S1 48h (MTs)_2,0.79241,
20190107 clasp-1 S1 48h (MTs)_3,0.94063,
20190107 clasp-1 S1 48h (MTs)_4,1.09662,
20190107 clasp-1 S1 48h (MTs)_5,0.7431,
20190107 clasp-1 S1 48h (MTs)_6,0.88689,
20190107 clasp-1 S1 48h (MTs)_7,0.66539,
20190107 clasp-1 S1 48h (MTs)_8,0.75028,
20190107 clasp-1 S3 48h (MTs)_1,1.29216,
20190107 clasp-1 S3 48h (MTs)_2,0.97906,
20190107 clasp-1 S3 48h (MTs)_3,0.87072,
20190107 clasp-1 S3 48h (MTs)_4,1.13107,
20190107 clasp-1 S3 48h (MTs)_5,1.16553,
