sample name,r,p-value
20170327 WT 2h timeseries S4 48h (MTs)_1,0.78533,
20170501 WT 2h timeseries S3 48h (MTs)_1,0.72329,
20170501 WT 2h timeseries S4 48h (MTs)_1,0.97019,
20190107 clasp-1 S1 48h (MTs)_1,0.83037,
20190107 clasp-1 S3 48h (MTs)_1,0.97131,
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_3,0.87936,
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_1,0.68017,
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_3,0.91338,
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_1,0.92481,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_1,0.91654,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_1,1.07821,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_1,0.94686,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_1,1.08378,
group,mean,sd
WT,0.82627,0.10487
clasp,0.86657,0.09378
ktn,1.00635,0.07544
WT vs clasp with p-value of 0.2975308641975309
WT vs ktn with p-value of 0.06031746031746032
